Driver_Age,Vehicle_Value,Tax,Price,Vehicle_Mileage,Credit_Score,Licence_Length_Years,Date,Marital_Status,Sale
56,8000,28.16341688,563.2683375,9000,358.945535,4.635140158,01/01/2015,S,0
41,5000,12.65265939,253.0531878,8000,552.6689931,7.137831021,01/01/2015,M,0
33,7000,17.93974146,358.7948292,8000,438.7854053,9.027052527,01/01/2015,M,0
37,6000,12.90701667,258.1403334,7000,329.1219341,8.873923413,01/01/2015,M,0
21,8000,19.33587181,386.7174363,6000,519.5751695,0.927577802,01/01/2015,M,0
47,8000,16.70265423,334.0530847,8000,499.2303197,6.47433321,01/01/2015,M,0
31,5000,16.41265228,328.2530457,8000,376.7473025,10.74912004,01/01/2015,M,0
19,6000,13.68038089,273.6076178,5000,412.2513444,0.908905458,01/01/2015,S,0
48,7000,21.12567361,422.5134722,10000,340.5978283,8.891565628,01/01/2015,M,0
30,5000,22.83986825,456.7973651,7000,520.539021,6.630899575,01/01/2015,S,0
30,6000,12.08537055,241.707411,8000,285.5422831,7.44215217,01/01/2015,S,0
33,6000,21.00396388,420.0792776,6000,442.3834283,8.096722807,01/01/2015,S,0
27,5000,19.84925619,396.9851238,6000,513.7204535,7.969384824,01/01/2015,S,0
29,5000,16.93049208,338.6098415,8000,370.0061704,7.985112753,01/01/2015,D,0
45,7000,21.49658375,429.9316751,6000,436.451156,7.666067727,01/01/2015,S,0
18,,23.19578315,463.915663,6000,472.7952731,0.869361894,01/01/2015,M,0
39,7000,21.55895209,431.1790418,10000,309.3454027,5.026469444,01/01/2015,M,0
24,8000,20.37129262,407.4258523,7000,363.1606098,1.068531212,01/01/2015,M,0
35,7000,19.59893895,391.9787789,8000,349.2069313,6.638283944,01/01/2015,M,0
23,7000,23.02482991,460.4965982,7000,427.4822869,0.830149149,01/01/2015,M,0
31,6000,11.32080172,226.4160343,7000,399.8658351,8.479372478,01/01/2015,D,0
35,7000,23.27416018,465.4832037,7000,546.0314153,9.480770423,01/01/2015,M,0
32,8000,12.31970933,246.3941865,7000,392.7839376,8.784010313,01/01/2015,M,0
21,6000,18.47909183,369.5818365,7000,342.7779966,2.92946655,01/01/2015,M,0
31,8000,37.16014974,743.2029948,4000,414.7014542,10.27570195,01/01/2015,M,1
22,3000,31.24719284,624.9438568,9000,258.1470993,3.199813214,01/01/2015,M,1
27,7000,34.05243587,681.0487174,9000,452.7379403,5.400945489,01/01/2015,S,1
33,8000,22.40239608,448.0479216,5000,380.8107794,8.905562791,01/01/2015,M,1
42,5000,27.20788148,544.1576297,6000,287.1924518,9.005666442,01/01/2015,M,1
27,6000,28.84085817,576.8171633,7000,390.2496308,1.649565344,01/01/2015,S,1
21,8000,21.05595596,421.1191192,8000,490.5857005,2.530860335,01/01/2015,D,1
33,8000,28.22003193,564.4006386,8000,421.3142029,5.598518449,01/01/2015,S,1
22,5000,30.20398364,604.0796727,7000,356.3725575,2.963706076,01/01/2015,M,1
36,6000,32.66374957,653.2749914,9000,501.22588,7.417469917,01/01/2015,M,1
,7000,27.48804883,549.7609765,8000,462.0994139,9.689419345,01/01/2015,M,1
32,6000,25.03794696,500.7589392,7000,339.2420146,9.834322648,01/01/2015,M,1
37,6000,27.51367441,550.2734882,8000,438.2819846,7.067595776,01/01/2015,S,1
21,6000,33.77830322,675.5660644,9000,516.0757261,0.706580491,01/01/2015,M,1
36,6000,23.0720995,461.44199,6000,444.0874116,9.351644156,01/01/2015,S,1
38,5000,28.61074218,572.2148436,5000,396.8730839,8.792580278,01/01/2015,M,1
26,6000,30.14044201,602.8088401,7000,455.5143628,6.353901665,01/01/2015,M,1
27,6000,41.58795296,831.7590592,8000,384.707883,5.822692109,01/01/2015,M,1
25,6000,26.60519827,532.1039654,8000,444.4332411,5.344678295,01/01/2015,D,1
